position_id,game_id,ply_index,fullmove_number,side_to_move,white,black,white_elo,black_elo,complexity_score,image_path,actual_move_uci,actual_move_san,fen
tNNQEMVj_ply_51,tNNQEMVj,51,26,black,blueminute,Dalfaro13,1021,1074,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/tNNQEMVj_ply_51.png,g5e6,Nxe6,7r/3k3p/p1n1B3/5pn1/3p4/P1P5/1q4PP/3Q1RK1 b - - 0 26
tiUoqkJo_ply_36,tiUoqkJo,36,19,white,grey-dancer,popexe911,1198,1325,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/tiUoqkJo_ply_36.png,e5g6,Nxg6,rnbr2k1/ppp5/4pqpp/4N2Q/1B6/1P6/P1P2PPP/R4RK1 w - - 0 19
u3ENT7qN_ply_25,u3ENT7qN,25,13,black,HELIO94,FreeDraw-Com,2267,2251,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/u3ENT7qN_ply_25.png,d7c6,Bc6,rnq1k2r/pp1b1ppp/4pb2/4N3/3P1P2/3B3P/PP4P1/R1BQ1RK1 b kq - 0 13
u3ENT7qN_ply_31,u3ENT7qN,31,16,black,HELIO94,FreeDraw-Com,2267,2251,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/u3ENT7qN_ply_31.png,c8d7,Qd7,rnq2rk1/pp3ppp/2b1p3/4P3/3P4/3BB2P/PP4P1/2RQ1RK1 b - - 0 16
uuuBMT72_ply_20,uuuBMT72,20,11,white,Adaiel,jpepello,2186,2209,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/uuuBMT72_ply_20.png,d1f3,Qxf3,r2qkb1r/1pp2ppp/p1n1pn2/8/2BP1B2/2N2b1P/PPP2PP1/R2QK2R w KQkq - 0 11
uuuBMT72_ply_45,uuuBMT72,45,23,black,Adaiel,jpepello,2186,2209,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/uuuBMT72_ply_45.png,a8c8,Rac8,r6r/2N2kpp/p1n1pp2/1pp5/5P2/1P2R2P/PP4P1/2KR4 b - - 4 23
uuuBMT72_ply_47,uuuBMT72,47,24,black,Adaiel,jpepello,2186,2209,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/uuuBMT72_ply_47.png,f7g6,Kg6,2r4r/2NR1kpp/p1n1pp2/1pp5/5P2/1P2R2P/PP4P1/2K5 b - - 6 24
vJZwINTd_ply_40,vJZwINTd,40,21,white,PauloGarciaR,bagirzd,1429,1462,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/vJZwINTd_ply_40.png,c5c6,c6,r4r2/ppp4k/5pp1/2P2q2/1Q5B/8/P4PPP/5RK1 w - - 0 21
w4EUR2k3_ply_44,w4EUR2k3,44,23,white,Krokodilok,you3aa,1674,1636,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/w4EUR2k3_ply_44.png,e2f4,Nf4,r5k1/ppq3p1/2pnrp1p/4n3/8/6P1/PPP1N2Q/2KR1B1R w - - 0 23
w4EUR2k3_ply_51,w4EUR2k3,51,26,black,Krokodilok,you3aa,1674,1636,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/w4EUR2k3_ply_51.png,g8f8,Kf8,r5k1/ppq1r1p1/2pn1p1p/4n2N/7Q/6P1/PPP1B3/2KR3R b - - 7 26
xvIm2G9T_ply_43,xvIm2G9T,43,22,black,mapleunix,jerradinho,2077,2041,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/xvIm2G9T_ply_43.png,f8e8,Re8,5rk1/1p4pp/1p3p2/8/r1PP1P2/8/P5PP/R1R3K1 b - - 2 22
yMmTCp4q_ply_47,yMmTCp4q,47,24,black,HeleneLouise,fantastic_mask,1102,860,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/yMmTCp4q_ply_47.png,h5e2,Qe2,3r2k1/pp3ppp/3p4/7q/3R1B2/6P1/PP3P1P/3R2K1 b - - 2 24
z31P1uww_ply_27,z31P1uww,27,14,black,meet4chess,SRKRATOS,1596,1577,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/z31P1uww_ply_27.png,f8e7,Be7,r1b1kb1r/p4ppp/4p3/q2pPn2/3B4/P1N5/1P2NPPP/R2Q1RK1 b kq - 4 14
z31P1uww_ply_30,z31P1uww,30,16,white,meet4chess,SRKRATOS,1596,1577,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/z31P1uww_ply_30.png,e2d4,Nxd4,r1b1k2r/p3bppp/4p3/q2pP3/3n1P2/P1N5/1P2N1PP/R2Q1RK1 w kq - 0 16
zeY9HYzm_ply_18,zeY9HYzm,18,10,white,Trotamundoscom,Sulton1,1679,1688,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/zeY9HYzm_ply_18.png,e1g1,O-O,r1bq1rk1/ppppb1p1/5n1p/n2P1p2/8/P1N2NP1/1P2PPBP/R1BQK2R w KQ - 1 10
zeY9HYzm_ply_21,zeY9HYzm,21,11,black,Trotamundoscom,Sulton1,1679,1688,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/zeY9HYzm_ply_21.png,a5c4,Nc4,r1bq1rk1/pppp2p1/3b1n1p/n2P1p2/8/P1N2NP1/1P1BPPBP/R2Q1RK1 b - - 4 11
03jEUl79_ply_26,03jEUl79,26,14,white,rrsa,Francictus,1988,2067,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_26.png,e2c4,Bc4,r1b1r1k1/1pp1qppp/p2p1n2/8/1P2Pn2/2N2P2/P1P1B1PP/R2Q1RK1 w - - 0 14
03jEUl79_ply_34,03jEUl79,34,18,white,rrsa,Francictus,1988,2067,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/03jEUl79_ply_34.png,g1h1,Kh1,r3r1k1/1ppn1ppp/p2p4/6q1/1P2Pn2/1PN2P2/P2Q2PP/R4RK1 w - - 3 18
