position_id,game_id,ply_index,fullmove_number,side_to_move,white,black,white_elo,black_elo,complexity_score,image_path,actual_move_uci,actual_move_san,budget_count,best_move_path,best_move_switch_count,unique_best_move_count,best_score_min_cp,best_score_max_cp,best_score_mean_cp,best_score_range_cp,adjacent_top3_overlap_min,adjacent_top3_overlap_mean,adjacent_top5_overlap_min,adjacent_top5_overlap_mean,best_pv_prefix_min_plies,best_pv_prefix_mean_plies,actual_move_present_budget_count,actual_move_rank_min,actual_move_rank_max,actual_move_rank_mean,actual_move_rank_range,actual_move_rank_path
55UlGeb9_ply_29,55UlGeb9,29,15,black,mianfo,rafamoraes82,1115,1096,32,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_29.png,e8g8,O-O,6,50ms:h6 | 200ms:dxc4 | 1000ms:dxc4 | 5000ms:dxc4 | 15000ms:dxc4 | 60000ms:dxc4,1,2,-60,-40,-45.3333,20,0.5,0.6,0.6667,0.7333,0,1,6,3,9,4.6667,6,50ms:9 | 200ms:4 | 1000ms:4 | 5000ms:3 | 15000ms:4 | 60000ms:4
55UlGeb9_ply_30,55UlGeb9,30,16,white,mianfo,rafamoraes82,1115,1096,27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_30.png,g5f6,Bxf6,6,50ms:c5 | 200ms:c5 | 1000ms:c5 | 5000ms:c5 | 15000ms:c5 | 60000ms:c5,0,1,74,122,98.3333,48,0.5,0.6,0.4286,0.819,1,3,0,,,,,50ms:>10 | 200ms:>10 | 1000ms:>10 | 5000ms:>10 | 15000ms:>10 | 60000ms:>10
55UlGeb9_ply_32,55UlGeb9,32,17,white,mianfo,rafamoraes82,1115,1096,31,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_32.png,a4c5,Nc5,6,50ms:Re1 | 200ms:Re1 | 1000ms:Re1 | 5000ms:f4 | 15000ms:f4 | 60000ms:Re1,2,2,-29,-5,-16.6667,24,0.5,0.7,0.6667,0.8667,0,2.6,6,2,6,3.5,4,50ms:2 | 200ms:6 | 1000ms:3 | 5000ms:3 | 15000ms:3 | 60000ms:4
55UlGeb9_ply_33,55UlGeb9,33,17,black,mianfo,rafamoraes82,1115,1096,31,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_33.png,d8c7,Qc7,6,50ms:Bxe5 | 200ms:Bxe5 | 1000ms:Bxe5 | 5000ms:Bxe5 | 15000ms:Bxe5 | 60000ms:Bxe5,0,1,26,98,62,72,0.5,0.8,0.6667,0.8667,1,3.6,6,4,6,5.1667,2,50ms:6 | 200ms:6 | 1000ms:6 | 5000ms:5 | 15000ms:4 | 60000ms:4
55UlGeb9_ply_34,55UlGeb9,34,18,white,mianfo,rafamoraes82,1115,1096,23,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_34.png,c4d5,cxd5,6,50ms:Ned7 | 200ms:Ned7 | 1000ms:Ned7 | 5000ms:Ned7 | 15000ms:Ned7 | 60000ms:Ned7,0,1,56,82,70.3333,26,0.5,0.9,0.6667,0.9333,2,3.6,0,,,,,50ms:>10 | 200ms:>10 | 1000ms:>10 | 5000ms:>10 | 15000ms:>10 | 60000ms:>10
55UlGeb9_ply_35,55UlGeb9,35,18,black,mianfo,rafamoraes82,1115,1096,28,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_35.png,f6e5,Bxe5,6,50ms:Bxe5 | 200ms:Bxe5 | 1000ms:Bxe5 | 5000ms:Bxe5 | 15000ms:Bxe5 | 60000ms:Bxe5,0,1,203,297,275.3333,94,1.0,1.0,0.6667,0.7333,5,5.8,6,1,1,1,0,50ms:1 | 200ms:1 | 1000ms:1 | 5000ms:1 | 15000ms:1 | 60000ms:1
55UlGeb9_ply_39,55UlGeb9,39,20,black,mianfo,rafamoraes82,1115,1096,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_39.png,f8d8,Rfd8,6,50ms:Qxd5 | 200ms:exd5 | 1000ms:exd5 | 5000ms:Qxd5 | 15000ms:Qxd5 | 60000ms:Qxd5,2,2,-27,0,-8.5,27,1.0,1.0,0.4286,0.6857,0,2.2,1,9,9,9,0,50ms:9 | 200ms:>10 | 1000ms:>10 | 5000ms:>10 | 15000ms:>10 | 60000ms:>10
55UlGeb9_ply_40,55UlGeb9,40,21,white,mianfo,rafamoraes82,1115,1096,23,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_40.png,d5d6,d6,6,50ms:d6 | 200ms:d6 | 1000ms:d6 | 5000ms:d6 | 15000ms:d6 | 60000ms:d6,0,1,230,278,251.6667,48,0.2,0.48,0.4286,0.5238,1,1.2,6,1,1,1,0,50ms:1 | 200ms:1 | 1000ms:1 | 5000ms:1 | 15000ms:1 | 60000ms:1
55UlGeb9_ply_41,55UlGeb9,41,21,black,mianfo,rafamoraes82,1115,1096,25,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_41.png,b7b5,Qb5,6,50ms:Qb6 | 200ms:Rdc8 | 1000ms:Qb5 | 5000ms:f6 | 15000ms:f6 | 60000ms:f6,3,4,-289,-222,-250.3333,67,0.0,0.5,0.25,0.4714,0,1.6,6,1,9,3.5,8,50ms:9 | 200ms:4 | 1000ms:1 | 5000ms:2 | 15000ms:2 | 60000ms:3
55UlGeb9_ply_42,55UlGeb9,42,22,white,mianfo,rafamoraes82,1115,1096,30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_42.png,f1e1,Re1,6,50ms:Qd4 | 200ms:Qd4 | 1000ms:Qd4 | 5000ms:Qd4 | 15000ms:Qd4 | 60000ms:Qd4,0,1,263,314,280.6667,51,0.5,0.9,0.6667,0.8,1,2.2,6,2,10,3.8333,8,50ms:10 | 200ms:3 | 1000ms:2 | 5000ms:3 | 15000ms:3 | 60000ms:2
55UlGeb9_ply_43,55UlGeb9,43,22,black,mianfo,rafamoraes82,1115,1096,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_43.png,d8d7,Rd7,6,50ms:Rac8 | 200ms:Rdc8 | 1000ms:Rac8 | 5000ms:Rac8 | 15000ms:Rac8 | 60000ms:Rac8,2,2,-301,-232,-261,69,0.5,0.8,0.6667,0.6667,0,2.6,1,8,8,8,0,50ms:>10 | 200ms:>10 | 1000ms:>10 | 5000ms:>10 | 15000ms:8 | 60000ms:>10
55UlGeb9_ply_44,55UlGeb9,44,23,white,mianfo,rafamoraes82,1115,1096,38,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_44.png,a1c1,Rc1,6,50ms:Qg4 | 200ms:h3 | 1000ms:Rc1 | 5000ms:Rc1 | 15000ms:Rc1 | 60000ms:h3,3,3,305,362,337.8333,57,0.2,0.54,0.4286,0.819,0,0.4,6,1,5,2,4,50ms:5 | 200ms:2 | 1000ms:1 | 5000ms:1 | 15000ms:1 | 60000ms:2
55UlGeb9_ply_45,55UlGeb9,45,23,black,mianfo,rafamoraes82,1115,1096,27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/55UlGeb9_ply_45.png,a5a4,a4,6,50ms:Rad8 | 200ms:f6 | 1000ms:Rad8 | 5000ms:Rad8 | 15000ms:Rdd8 | 60000ms:Qb6,4,4,-370,-297,-322.3333,73,0.2,0.38,0.25,0.4881,0,0.2,0,,,,,50ms:>10 | 200ms:>10 | 1000ms:>10 | 5000ms:>10 | 15000ms:>10 | 60000ms:>10
5NtMrs6m_ply_18,5NtMrs6m,18,10,white,edu017-ke,VLAD339,1725,1696,25,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/5NtMrs6m_ply_18.png,c1b2,Bb2,6,50ms:bxc5 | 200ms:bxc5 | 1000ms:bxc5 | 5000ms:bxc5 | 15000ms:bxc5 | 60000ms:bxc5,0,1,106,156,130.5,50,0.5,0.9,0.6667,0.7333,1,1.4,5,4,10,7.2,6,50ms:10 | 200ms:>10 | 1000ms:10 | 5000ms:6 | 15000ms:6 | 60000ms:4
5NtMrs6m_ply_19,5NtMrs6m,19,10,black,edu017-ke,VLAD339,1725,1696,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/5NtMrs6m_ply_19.png,c5b4,cxb4,6,50ms:cxb4 | 200ms:cxb4 | 1000ms:cxb4 | 5000ms:cxb4 | 15000ms:cxb4 | 60000ms:cxb4,0,1,97,131,107.3333,34,0.5,0.9,1.0,1.0,1,1.8,6,1,1,1,0,50ms:1 | 200ms:1 | 1000ms:1 | 5000ms:1 | 15000ms:1 | 60000ms:1
5NtMrs6m_ply_20,5NtMrs6m,20,11,white,edu017-ke,VLAD339,1725,1696,29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/5NtMrs6m_ply_20.png,d3h7,Bxh7,6,50ms:O-O | 200ms:Nbd2 | 1000ms:O-O | 5000ms:Bxh7 | 15000ms:d5 | 60000ms:d5,4,4,-123,-89,-100,34,0.5,0.6,0.6667,0.7333,0,1,5,1,6,3.8,5,50ms:>10 | 200ms:6 | 1000ms:4 | 5000ms:1 | 15000ms:4 | 60000ms:4
5NtMrs6m_ply_22,5NtMrs6m,22,12,white,edu017-ke,VLAD339,1725,1696,22,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/5NtMrs6m_ply_22.png,h7g6,Bxg6,6,50ms:Ng5 | 200ms:Ng5 | 1000ms:Ng5 | 5000ms:Ng5 | 15000ms:Ng5 | 60000ms:Ng5,0,1,-144,-98,-126.6667,46,0.5,0.7,0.6667,0.8667,1,1.8,6,3,5,4.3333,2,50ms:4 | 200ms:3 | 1000ms:5 | 5000ms:5 | 15000ms:5 | 60000ms:4
5NtMrs6m_ply_24,5NtMrs6m,24,13,white,edu017-ke,VLAD339,1725,1696,27,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/5NtMrs6m_ply_24.png,d4d5,d5,6,50ms:d5 | 200ms:h4 | 1000ms:Nbd2 | 5000ms:Nbd2 | 15000ms:Nbd2 | 60000ms:Nbd2,2,3,-275,-234,-262,41,0.5,0.7,0.6667,0.8,0,3,6,1,4,2.8333,3,50ms:1 | 200ms:2 | 1000ms:3 | 5000ms:4 | 15000ms:4 | 60000ms:3
5NtMrs6m_ply_25,5NtMrs6m,25,13,black,edu017-ke,VLAD339,1725,1696,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/5NtMrs6m_ply_25.png,h8h5,Rh5,6,50ms:cxd5 | 200ms:e5 | 1000ms:cxd5 | 5000ms:cxd5 | 15000ms:cxd5 | 60000ms:cxd5,2,2,278,327,299.1667,49,0.5,0.6,0.4286,0.7048,0,1,6,3,8,4.5,5,50ms:3 | 200ms:5 | 1000ms:8 | 5000ms:4 | 15000ms:4 | 60000ms:3
5NtMrs6m_ply_26,5NtMrs6m,26,14,white,edu017-ke,VLAD339,1725,1696,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/5NtMrs6m_ply_26.png,d5c6,dxc6,6,50ms:g4 | 200ms:h4 | 1000ms:h4 | 5000ms:h4 | 15000ms:d6 | 60000ms:d6,2,3,-281,-230,-252.3333,51,0.5,0.7,0.6667,0.8667,0,2.6,0,,,,,50ms:>10 | 200ms:>10 | 1000ms:>10 | 5000ms:>10 | 15000ms:>10 | 60000ms:>10
