position_id,game_id,ply_index,fullmove_number,side_to_move,player_elo,white_elo,black_elo,white,black,fen,image_path,complexity_score,high_complexity,candidate_uci,candidate_san,candidate_role,forced_include_actual,is_actual_move,is_engine_best,actual_move_uci,actual_move_san,root_rank,root_eval_cp,root_value_cp,initial_gain_cp,distance_from_best_cp,viable_threshold_cp,acceptable_width_player_d1,acceptable_width_player_mean,acceptable_width_player_min,acceptable_width_d3,survival_rate_after_opponent,opponent_refutation_density,depth4_survival_rate,unique_burden_plies,longest_narrow_streak,deviation_penalty_cp_mean,deviation_penalty_cp_max,mean_margin_to_viable_cp,conversion_horizon_plies,conversion_success_within_horizon,maia_rank,maia_probability,realizability_score_v0
XihfAk9F_ply_56,XihfAk9F,56,29,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2n5/8/P1Q1PNP1/4KP1P/8 w - - 0 29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_56.png,45,True,h2h4,h4,engine_topk,False,False,False,f3d4,Nd4,2,-5,-21,-16,16,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,8,0.0244,33.0
XihfAk9F_ply_57,XihfAk9F,57,29,black,1888,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2n5/3N4/P1Q1P1P1/4KP1P/8 b - - 1 29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_57.png,29,True,c7e5,Qe5,engine_best,False,True,True,c7e5,Qe5,1,24,32,8,-8,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,5,0.0593,33.0
XihfAk9F_ply_57,XihfAk9F,57,29,black,1888,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2n5/3N4/P1Q1P1P1/4KP1P/8 b - - 1 29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_57.png,29,True,c7c8,Qc8,engine_topk,False,False,False,c7e5,Qe5,3,24,9,-15,15,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,15,0.0055,33.0
XihfAk9F_ply_57,XihfAk9F,57,29,black,1888,2025,1888,FDSV,ZucaVictor,6k1/1pq2pp1/p6p/2n5/3N4/P1Q1P1P1/4KP1P/8 b - - 1 29,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_57.png,29,True,g7g6,g6,engine_topk,False,False,False,c7e5,Qe5,2,24,15,-9,9,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,10,0.0121,33.0
XihfAk9F_ply_58,XihfAk9F,58,30,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1p3pp1/p6p/2n1q3/3N4/P1Q1P1P1/4KP1P/8 w - - 2 30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_58.png,29,True,f2f3,f3,actual_move,True,True,False,f2f3,f3,,-27,-27,0,0,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,5,0.0657,33.0
XihfAk9F_ply_58,XihfAk9F,58,30,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1p3pp1/p6p/2n1q3/3N4/P1Q1P1P1/4KP1P/8 w - - 2 30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_58.png,29,True,e2f1,Kf1,engine_best,False,False,True,f2f3,f3,1,-27,-26,1,-1,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,13,0.0127,33.0
XihfAk9F_ply_58,XihfAk9F,58,30,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1p3pp1/p6p/2n1q3/3N4/P1Q1P1P1/4KP1P/8 w - - 2 30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_58.png,29,True,c3b4,Qb4,engine_topk,False,False,False,f2f3,f3,3,-27,-54,-27,27,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,2,0.1913,33.0
XihfAk9F_ply_58,XihfAk9F,58,30,white,2025,2025,1888,FDSV,ZucaVictor,6k1/1p3pp1/p6p/2n1q3/3N4/P1Q1P1P1/4KP1P/8 w - - 2 30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_58.png,29,True,h2h4,h4,engine_topk,False,False,False,f2f3,f3,2,-27,-43,-16,16,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,8,0.0265,33.0
XihfAk9F_ply_59,XihfAk9F,59,30,black,1888,2025,1888,FDSV,ZucaVictor,6k1/1p3pp1/p6p/2n1q3/3N4/P1Q1PPP1/4K2P/8 b - - 0 30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_59.png,32,True,g7g6,g6,engine_best,False,False,True,b7b6,b6,1,30,30,0,0,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,10,0.0203,33.0
XihfAk9F_ply_59,XihfAk9F,59,30,black,1888,2025,1888,FDSV,ZucaVictor,6k1/1p3pp1/p6p/2n1q3/3N4/P1Q1PPP1/4K2P/8 b - - 0 30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_59.png,32,True,b7b6,b6,engine_topk,False,True,False,b7b6,b6,3,30,17,-13,13,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,1,0.2219,33.0
XihfAk9F_ply_59,XihfAk9F,59,30,black,1888,2025,1888,FDSV,ZucaVictor,6k1/1p3pp1/p6p/2n1q3/3N4/P1Q1PPP1/4K2P/8 b - - 0 30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XihfAk9F_ply_59.png,32,True,e5h5,Qh5,engine_topk,False,False,False,b7b6,b6,2,30,7,-23,23,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,2,0.1808,33.0
XtpsyD6Q_ply_18,XtpsyD6Q,18,10,white,1903,1903,1836,Hardrock572,Israelor79,2kr1bnr/ppp2pp1/2n1p1b1/3qP1Pp/3p1B2/3P1N1P/PPP1QP2/RN2KB1R w KQ - 1 10,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XtpsyD6Q_ply_18.png,35,True,f1g2,Bg2,engine_best,False,True,True,f1g2,Bg2,1,-84,-89,-5,5,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,1,0.4681,33.0
XtpsyD6Q_ply_18,XtpsyD6Q,18,10,white,1903,1903,1836,Hardrock572,Israelor79,2kr1bnr/ppp2pp1/2n1p1b1/3qP1Pp/3p1B2/3P1N1P/PPP1QP2/RN2KB1R w KQ - 1 10,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XtpsyD6Q_ply_18.png,35,True,a2a3,a3,engine_topk,False,False,False,f1g2,Bg2,3,-84,-83,1,-1,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,4,0.0653,33.0
XtpsyD6Q_ply_18,XtpsyD6Q,18,10,white,1903,1903,1836,Hardrock572,Israelor79,2kr1bnr/ppp2pp1/2n1p1b1/3qP1Pp/3p1B2/3P1N1P/PPP1QP2/RN2KB1R w KQ - 1 10,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XtpsyD6Q_ply_18.png,35,True,b1d2,Nbd2,engine_topk,False,False,False,f1g2,Bg2,2,-84,-155,-71,71,80,0.0,0.0,0,,0.0,1.0,0.0,0,0,0.0,0,,,False,2,0.2363,33.0
XtpsyD6Q_ply_19,XtpsyD6Q,19,10,black,1836,1903,1836,Hardrock572,Israelor79,2kr1bnr/ppp2pp1/2n1p1b1/3qP1Pp/3p1B2/3P1N1P/PPP1QPB1/RN2K2R b KQ - 2 10,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/XtpsyD6Q_ply_19.png,26,True,d5b5,Qb5,engine_best,False,False,True,f8b4,Bb4+,1,106,73,-33,33,106,1.0,1.0,0,1.0,0.75,0.5,1.0,6,2,124.1429,333,84.5714,4,True,2,0.2407,42.65
