position_id,game_id,ply_index,fullmove_number,side_to_move,player_elo,white,black,complexity_score,image_path,candidate_count,actual_move_uci,actual_move_san,actual_candidate_available,actual_realizability_score_v0,actual_maia_probability,actual_maia_rank,engine_best_uci,engine_best_san,engine_best_realizability_score_v0,engine_best_maia_probability,engine_best_maia_rank,top_realizability_uci,top_realizability_san,top_realizability_score_v0,actual_minus_engine_best_realizability,actual_matches_engine_best,actual_matches_top_realizability,actual_beats_engine_best
119kM9Xj_ply_33,119kM9Xj,33,17,black,1173,themoreudontknow,pvalen,20,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_33.png,2,f6e5,Bxe5,True,74.37,0.331,2,c6e5,Nxe5,84.94,0.6386,1,c6e5,Nxe5,84.94,-10.57,False,False,False
119kM9Xj_ply_34,119kM9Xj,34,18,white,1288,themoreudontknow,pvalen,31,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_34.png,2,b3d5,Bd5,True,33.0,0.1159,3,f3e5,Nxe5,66.95,0.0051,18,f3e5,Nxe5,66.95,-33.95,False,False,False
119kM9Xj_ply_35,119kM9Xj,35,18,black,1173,themoreudontknow,pvalen,26,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_35.png,3,g4f3,Bxf3,True,61.39,0.1867,2,g4f3,Bxf3,61.39,0.1867,2,g4f3,Bxf3,61.39,0.0,True,True,False
119kM9Xj_ply_37,119kM9Xj,37,19,black,1173,themoreudontknow,pvalen,24,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_37.png,3,c6e7,Ne7,True,79.07,0.3263,1,f8f4,Rf4,42.12,0.0416,8,c6e7,Ne7,79.07,36.95,False,True,True
119kM9Xj_ply_38,119kM9Xj,38,20,white,1288,themoreudontknow,pvalen,28,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_38.png,4,d5c4,Bc4,True,33.0,0.368,1,d5b3,Bb3,33.0,0.2553,2,d5c4,Bc4,33.0,0.0,False,True,False
119kM9Xj_ply_39,119kM9Xj,39,20,black,1173,themoreudontknow,pvalen,18,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_39.png,4,f8f4,Rf4,True,43.8,0.0435,9,e7g6,Ng6,62.98,0.2153,1,e7g6,Ng6,62.98,-19.18,False,False,False
119kM9Xj_ply_40,119kM9Xj,40,21,white,1288,themoreudontknow,pvalen,21,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_40.png,3,h1g1,Rhg1,True,33.0,0.3351,1,d1g1,Rdg1,33.0,0.0721,3,h1g1,Rhg1,33.0,0.0,False,True,False
119kM9Xj_ply_41,119kM9Xj,41,21,black,1173,themoreudontknow,pvalen,30,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_41.png,3,d8f8,Rdf8,True,33.0,0.1484,3,g7g5,g5,33.0,0.2467,1,d8f8,Rdf8,33.0,0.0,False,True,False
119kM9Xj_ply_42,119kM9Xj,42,22,white,1288,themoreudontknow,pvalen,13,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_42.png,4,g1g3,Rg3,True,33.0,0.4531,1,g1g4,Rg4,33.0,0.0301,6,g1g3,Rg3,33.0,0.0,False,True,False
119kM9Xj_ply_43,119kM9Xj,43,22,black,1173,themoreudontknow,pvalen,19,/Users/jialinzhang/Documents/Chess/Complexity_Idea/chess-complexity-full-test/outputs/runs/20260509_balanced_100_games/step_04_parse_filter/images/119kM9Xj_ply_43.png,4,f4h4,Rh4,True,33.0,0.4044,1,g7g5,g5,37.83,0.1877,2,g7g5,g5,37.83,-4.83,False,False,False
